offset,ibi_duration,timestamp,Subject,Exam
240.823524,1.734454,1544027574.823524,S5,Final
242.589229,1.765706,1544027576.589229,S5,Final
270.778019,0.937543,1544027604.778019,S5,Final
335.218469,0.515649,1544027669.218469,S5,Final
340.499961,0.453146,1544027674.499961,S5,Final
827.412874,0.5469,1544028161.412874,S5,Final
827.9754,0.562526,1544028161.9754,S5,Final
828.709808,0.734409,1544028162.709808,S5,Final
845.694961,0.531274,1544028179.694961,S5,Final
856.27357,0.796911,1544028190.27357,S5,Final
856.992353,0.718783,1544028190.992353,S5,Final
857.726762,0.734409,1544028191.726762,S5,Final
858.320539,0.593777,1544028192.320539,S5,Final
859.023696,0.703157,1544028193.023696,S5,Final
859.726853,0.703157,1544028193.726853,S5,Final
867.180319,0.625029,1544028201.180319,S5,Final
867.727219,0.5469,1544028201.727219,S5,Final
868.352248,0.625029,1544028202.352248,S5,Final
868.946025,0.593777,1544028202.946025,S5,Final
869.571054,0.625029,1544028203.571054,S5,Final
870.227334,0.65628,1544028204.227334,S5,Final
870.89924,0.671906,1544028204.89924,S5,Final
871.508642,0.609403,1544028205.508642,S5,Final
872.071168,0.562526,1544028206.071168,S5,Final
872.664945,0.593777,1544028206.664945,S5,Final
873.258723,0.593777,1544028207.258723,S5,Final
873.8525,0.593777,1544028207.8525,S5,Final
874.446277,0.593777,1544028208.446277,S5,Final
875.040054,0.593777,1544028209.040054,S5,Final
875.633831,0.593777,1544028209.633831,S5,Final
876.227608,0.593777,1544028210.227608,S5,Final
876.821386,0.593777,1544028210.821386,S5,Final
877.415163,0.593777,1544028211.415163,S5,Final
877.977689,0.562526,1544028211.977689,S5,Final
878.55584,0.578151,1544028212.55584,S5,Final
879.10274,0.5469,1544028213.10274,S5,Final
879.665266,0.562526,1544028213.665266,S5,Final
880.227792,0.562526,1544028214.227792,S5,Final
880.774692,0.5469,1544028214.774692,S5,Final
881.368469,0.593777,1544028215.368469,S5,Final
881.930995,0.562526,1544028215.930995,S5,Final
882.509146,0.578151,1544028216.509146,S5,Final
883.087297,0.578151,1544028217.087297,S5,Final
883.681075,0.593777,1544028217.681075,S5,Final
884.290478,0.609403,1544028218.290478,S5,Final
884.89988,0.609403,1544028218.89988,S5,Final
885.509283,0.609403,1544028219.509283,S5,Final
886.10306,0.593777,1544028220.10306,S5,Final
886.696838,0.593777,1544028220.696838,S5,Final
887.321866,0.625029,1544028221.321866,S5,Final
887.900018,0.578151,1544028221.900018,S5,Final
888.462543,0.562526,1544028222.462543,S5,Final
892.743989,0.593777,1544028226.743989,S5,Final
896.962933,0.578151,1544028230.962933,S5,Final
897.525458,0.562526,1544028231.525458,S5,Final
898.134861,0.609403,1544028232.134861,S5,Final
898.619258,0.484397,1544028232.619258,S5,Final
899.19741,0.578151,1544028233.19741,S5,Final
899.759936,0.562526,1544028233.759936,S5,Final
900.416216,0.65628,1544028234.416216,S5,Final
901.009993,0.593777,1544028235.009993,S5,Final
901.60377,0.593777,1544028235.60377,S5,Final
902.166296,0.562526,1544028236.166296,S5,Final
902.80695,0.640654,1544028236.80695,S5,Final
911.322965,0.5469,1544028245.322965,S5,Final
